Season,TeamID,Team,Conference,Number,Player,Yr,Pos,Ht,GP,GS,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RetAtt,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Dbl Dbl
2020-2021,,A&M-Corpus Christi,Southland,2,Angel Felan,Jr,S,5-7,19,3.0,67,7,3,23,0.174,62.0,4.0,16.0,104.0,,,,,,11.0,5.0,,
2020-2021,,A&M-Corpus Christi,Southland,5,Carissa Barnes,So,L,5-7,69,,69,1,0,7,0.143,49.0,40.0,30.0,398.0,,17.0,,1.0,,41.5,,,
2020-2021,,A&M-Corpus Christi,Southland,7,Chloe Simon,Sr,OH,6-1,19,19.0,69,201,58,513,0.279,27.0,2.0,7.0,127.0,,36.0,11.0,16.0,,222.0,2.0,,
2020-2021,,A&M-Corpus Christi,Southland,16,Ella Litterell,Fr,OH,6-2,53,,53,9,7,39,0.051,6.0,7.0,8.0,35.0,,6.0,,2.0,,17.0,,,
2020-2021,,A&M-Corpus Christi,Southland,6,Faith Panhans,So,S,5-11,19,19.0,69,114,24,259,0.347,686.0,18.0,29.0,137.0,,2.0,3.0,18.0,2.0,144.0,13.0,1.0,
2020-2021,,A&M-Corpus Christi,Southland,21,Hannah Froeschl,Sr,MH,5-10,15,14.0,53,133,32,289,0.349,12.0,,,17.0,,,10.0,28.0,1.0,157.0,3.0,,
2020-2021,,A&M-Corpus Christi,Southland,17,Julia Carter,Jr,MB,6-6,19,6.0,50,61,27,196,0.173,8.0,,,18.0,,,3.0,7.0,1.0,67.5,2.0,,
2020-2021,,A&M-Corpus Christi,Southland,13,Kaylee Payne,Jr,L/DS,5-9,19,4.0,66,1,0,7,0.143,14.0,14.0,23.0,103.0,,13.0,,,,15.0,,,
2020-2021,,A&M-Corpus Christi,Southland,1,Kylie Filipiak,Jr,OH,5-9,15,15.0,54,117,41,335,0.227,5.0,,2.0,53.0,,1.0,2.0,8.0,,123.0,,,
2020-2021,,A&M-Corpus Christi,Southland,11,Liza Buzhanski,Sr,L/DS,5-8,17,,17,0,0,1,0.0,2.0,,1.0,10.0,,2.0,,,,,,,
2020-2021,,A&M-Corpus Christi,Southland,3,Madeline Harkey,Fr,S,5-9,1,,1,0,0,0,,,,,,,,,,,,,,
2020-2021,,A&M-Corpus Christi,Southland,12,Montez Uigaese,Sr,MB,6-2,19,12.0,68,125,41,350,0.24,1.0,3.0,3.0,25.0,,,7.0,15.0,,142.5,1.0,,
2020-2021,,A&M-Corpus Christi,Southland,8,Rachel Young,Jr,MB,6-1,19,19.0,69,200,45,437,0.355,23.0,5.0,13.0,72.0,,2.0,5.0,28.0,,224.0,2.0,,
2020-2021,,A&M-Corpus Christi,Southland,14,Sam Dumity,Jr,MB,6-0,4,3.0,16,25,10,68,0.221,4.0,2.0,5.0,11.0,,,2.0,3.0,,30.5,,,
2020-2021,,Abilene Christian,Southland,1,Alexis Vaughn,Fr,DS,5-6,8,,8,0,0,0,,,,,3.0,,,,,,,,,
2020-2021,,Abilene Christian,Southland,15,Braden Bossier,Fr,MB,6-2,15,15.0,55,83,47,247,0.146,1.0,2.0,12.0,26.0,,,4.0,48.0,4.0,113.0,,,
2020-2021,,Abilene Christian,Southland,6,Breanna Box,So,MB,6-2,15,15.0,59,113,46,286,0.234,3.0,,,12.0,,1.0,6.0,36.0,5.0,137.0,1.0,,
2020-2021,,Abilene Christian,Southland,22,Brittney Roberts,Jr,OH,5-9,7,,7,0,0,0,,,1.0,1.0,1.0,,,,,,1.0,,,
2020-2021,,Abilene Christian,Southland,14,Emily Van Dyke,Fr,OH,5-11,9,1.0,17,33,13,103,0.194,2.0,,4.0,29.0,,2.0,1.0,1.0,2.0,34.5,,,
2020-2021,,Abilene Christian,Southland,11,Erin Treybig,Fr,S,6-0,1,,1,0,0,0,,,,,,,,,,,,,,
